job_title,company,industry,skills,experience_level,employment_type,location,salary,posted_date,company_size,tools_preferred,data_source
433,Ramsey-Barnes,Tech,"LangChain, Python, AWS, R, Azure, Pandas",Entry,Contract,"Jackburgh, BB",140443-182231,2023-11-29,Mid,"BigQuery, MLflow, KDB+",ai_job_market
434,Clark and Sons,Retail,"FastAPI, NumPy, C++, Azure",Entry,Contract,"East Samuelfort, PS",92799-159163,2024-07-10,Mid,"MLflow, KDB+, FastAPI",ai_job_market
435,Blair-Shaffer,Tech,"Keras, PyTorch, R, Hugging Face, CUDA",Entry,Contract,"Lindseymouth, CM",48181-75949,2024-08-29,Startup,BigQuery,ai_job_market
436,Salazar-Clark,Retail,"Reinforcement Learning, AWS, Azure, Pandas, Keras, Power BI",Entry,Full-time,"New Samanthaport, MC",72489-167549,2024-03-21,Mid,"TensorFlow, BigQuery",ai_job_market
437,Jones-Simpson,E-commerce,"TensorFlow, CUDA, MLflow",Senior,Internship,"Charlottechester, BZ",140658-230833,2023-11-08,Mid,"TensorFlow, BigQuery",ai_job_market
438,Johnson-Jackson,Finance,"R, MLflow, Reinforcement Learning, Azure",Entry,Remote,"Lake Meganborough, MX",130536-167334,2025-07-06,Large,"TensorFlow, KDB+",ai_job_market
439,Lane-Rodriguez,Finance,"Scikit-learn, Excel, Azure, Flask, Hugging Face, Pandas",Senior,Full-time,"South Katherine, DE",81950-133686,2024-03-30,Startup,"PyTorch, LangChain, KDB+",ai_job_market
440,"Jones, Thompson and Gomez",Education,"Power BI, Hugging Face, GCP",Senior,Contract,"West Gregorychester, ET",134169-173479,2024-05-04,Large,Scikit-learn,ai_job_market
441,"Ho, Mitchell and King",Automotive,"NumPy, LangChain, R, Scikit-learn",Senior,Contract,"Port Carolineside, SG",40824-92636,2025-03-16,Large,TensorFlow,ai_job_market
442,Mathis-Davila,Tech,"SQL, Hugging Face, Keras, AWS, MLflow, R",Mid,Internship,"West Bethchester, HR",94799-136985,2024-10-13,Startup,"LangChain, PyTorch, FastAPI",ai_job_market
443,Perez-Hawkins,Automotive,"Pandas, Hugging Face, Keras",Mid,Internship,"New Frederickstad, NA",83771-94234,2025-07-28,Large,FastAPI,ai_job_market
444,"Perez, Butler and Carroll",E-commerce,"Excel, Hugging Face, SQL, Azure",Entry,Contract,"Lauraland, KZ",115058-174712,2025-04-29,Mid,KDB+,ai_job_market
445,Ford PLC,E-commerce,"FastAPI, Scikit-learn, Pandas, NumPy, Excel, CUDA",Mid,Contract,"East Robert, RS",119046-198687,2025-02-07,Mid,"Scikit-learn, KDB+, MLflow",ai_job_market
446,Rivera Ltd,Retail,"Python, PyTorch, Keras, Power BI, Reinforcement Learning",Senior,Remote,"West Bonnieville, CA",76496-169636,2024-03-16,Startup,BigQuery,ai_job_market
447,Thompson-White,E-commerce,"LangChain, TensorFlow, Pandas, Flask",Senior,Remote,"Coryfurt, KG",114726-166530,2025-01-02,Large,"FastAPI, MLflow",ai_job_market
448,"Johnson, Foster and Martin",Education,"MLflow, CUDA, Power BI, FastAPI",Mid,Remote,"Smithfurt, SB",87007-185082,2023-10-22,Startup,"FastAPI, BigQuery",ai_job_market
449,Solomon-Hartman,Finance,"Pandas, Azure, Keras, PyTorch, AWS, Hugging Face",Mid,Remote,"West Christopherfort, GM",101003-168211,2024-08-24,Startup,"BigQuery, KDB+",ai_job_market
450,"Kelley, Adams and Robertson",Automotive,"Hugging Face, SQL, TensorFlow",Entry,Full-time,"Port James, LY",123063-188735,2024-08-13,Mid,"Scikit-learn, BigQuery",ai_job_market
451,Johnson-Cabrera,Healthcare,"TensorFlow, PyTorch, FastAPI, Hugging Face, LangChain, AWS",Senior,Contract,"South Bryanberg, GD",43723-55609,2024-05-12,Large,"TensorFlow, PyTorch, LangChain",ai_job_market
452,"Love, Liu and Flynn",Tech,"Excel, LangChain, MLflow, CUDA, Reinforcement Learning",Entry,Full-time,"Matthewshire, FR",62280-142270,2025-03-25,Startup,MLflow,ai_job_market
453,Mcdonald and Sons,Retail,"TensorFlow, AWS, Azure",Senior,Remote,"Villanuevaberg, KM",122800-196570,2025-05-01,Large,"FastAPI, LangChain, PyTorch",ai_job_market
454,Le Ltd,Finance,"R, TensorFlow, C++, Hugging Face, SQL, Flask",Entry,Internship,"South Ginachester, TV",109750-192019,2024-03-08,Large,"KDB+, BigQuery",ai_job_market
455,Larson-Moss,Healthcare,"C++, Reinforcement Learning, NumPy, LangChain",Mid,Internship,"South Williamfurt, BB",92256-151389,2023-10-13,Large,FastAPI,ai_job_market
456,"Farmer, Thompson and Smith",Healthcare,"Flask, SQL, PyTorch, C++, TensorFlow",Mid,Full-time,"New Daniel, KP",62733-72920,2023-12-30,Large,KDB+,ai_job_market
457,Burns-Davis,Healthcare,"Python, AWS, NumPy, Power BI, Hugging Face",Senior,Internship,"Nicholasshire, PH",44536-65243,2024-01-03,Large,"FastAPI, LangChain",ai_job_market
458,Scott-Hernandez,Retail,"CUDA, Keras, TensorFlow, Scikit-learn",Senior,Full-time,"Freemanland, GD",117848-182284,2025-03-31,Startup,BigQuery,ai_job_market
459,Lozano-Valencia,E-commerce,"LangChain, AWS, Scikit-learn, Flask",Entry,Internship,"Kelseybury, US",126486-160422,2024-03-22,Startup,"BigQuery, KDB+",ai_job_market
460,Watkins-Pearson,Finance,"R, SQL, Hugging Face, Keras, Pandas",Mid,Remote,"East Rhondaview, IL",47182-68293,2024-09-04,Large,"TensorFlow, BigQuery, LangChain",ai_job_market
461,Lewis Inc,Finance,"Hugging Face, Pandas, PyTorch, SQL, R, Excel",Senior,Full-time,"Lake Anthony, MN",61782-111016,2024-02-15,Startup,"LangChain, TensorFlow",ai_job_market
462,"Moreno, Salazar and Sexton",Finance,"Power BI, Hugging Face, TensorFlow",Mid,Full-time,"North Johnstad, TZ",80727-158409,2025-01-29,Startup,"MLflow, Scikit-learn",ai_job_market
463,Lopez Ltd,Tech,"Power BI, R, GCP",Entry,Full-time,"East Deborahshire, DZ",114829-163954,2025-05-19,Mid,PyTorch,ai_job_market
464,Orozco-Tran,Retail,"Reinforcement Learning, Excel, TensorFlow, AWS, C++",Mid,Internship,"Kevinton, ZW",144070-166802,2024-01-09,Large,"KDB+, MLflow, TensorFlow",ai_job_market
465,Allen-Miller,Education,"Hugging Face, Power BI, SQL, Pandas, Reinforcement Learning",Senior,Contract,"Elijahshire, BJ",52942-108682,2025-08-06,Large,Scikit-learn,ai_job_market
466,"Ray, Phillips and Kim",Automotive,"PyTorch, Reinforcement Learning, R, NumPy",Mid,Internship,"West Shellymouth, TG",113035-170507,2024-07-08,Startup,"FastAPI, PyTorch",ai_job_market
467,Rodriguez-Williams,Automotive,"MLflow, C++, SQL",Mid,Internship,"New Jenniferfort, YE",132860-175653,2024-11-16,Startup,MLflow,ai_job_market
468,Randall-Sanchez,Tech,"MLflow, Azure, GCP, Flask, AWS",Mid,Contract,"West Julieland, CO",117504-216279,2024-12-26,Mid,LangChain,ai_job_market
469,"Mendoza, Chung and Burnett",E-commerce,"Python, PyTorch, R, LangChain",Mid,Remote,"New Jacob, KG",119974-214225,2024-09-20,Large,TensorFlow,ai_job_market
470,Odom PLC,Healthcare,"TensorFlow, Python, CUDA",Senior,Contract,"South Jacobshire, BE",89679-162956,2025-07-09,Mid,"PyTorch, MLflow",ai_job_market
471,"Miller, Jimenez and Walker",Education,"C++, Pandas, Hugging Face, SQL, LangChain, Python",Senior,Internship,"Lake Patriciaview, LY",92350-190209,2024-09-29,Mid,MLflow,ai_job_market
472,Valdez-Williams,Automotive,"NumPy, AWS, Excel",Mid,Contract,"Port Charles, BE",100745-156193,2024-05-19,Large,TensorFlow,ai_job_market
473,"Rodriguez, West and Erickson",Tech,"PyTorch, Reinforcement Learning, FastAPI, R, C++",Entry,Full-time,"Lake Joshuastad, QA",144980-238642,2024-05-01,Startup,BigQuery,ai_job_market
474,Church-Young,Automotive,"Keras, LangChain, CUDA",Mid,Contract,"West Paulshire, PE",43750-143665,2025-05-17,Startup,"FastAPI, Scikit-learn, TensorFlow",ai_job_market
475,Ramirez PLC,Healthcare,"GCP, PyTorch, Flask",Entry,Full-time,"East Jason, IL",123991-140802,2024-02-14,Mid,"MLflow, KDB+, LangChain",ai_job_market
476,Simmons PLC,Automotive,"AWS, Excel, R",Entry,Internship,"Peterland, IL",82447-99125,2024-02-18,Mid,MLflow,ai_job_market
477,"Miller, Simmons and Johnson",Healthcare,"FastAPI, LangChain, SQL, TensorFlow, R",Mid,Remote,"Obrienshire, UZ",40493-78657,2024-04-11,Startup,BigQuery,ai_job_market
478,"Stevens, Ball and Tyler",Automotive,"Keras, LangChain, R, MLflow, Azure, TensorFlow",Senior,Remote,"Dennischester, BH",123525-145590,2024-08-19,Mid,"TensorFlow, BigQuery, LangChain",ai_job_market
479,"Hunt, Scott and Schneider",Retail,"SQL, R, Keras",Mid,Remote,"Jessicaside, CH",48593-83543,2024-10-12,Large,"KDB+, MLflow",ai_job_market
480,"Wright, Diaz and Rosario",Education,"Power BI, CUDA, Scikit-learn",Entry,Remote,"East Bernardfurt, CY",84439-138226,2025-03-13,Startup,"MLflow, PyTorch",ai_job_market
481,"Dean, Reid and Johnson",Finance,"AWS, CUDA, GCP, Scikit-learn, Azure",Mid,Internship,"Santostown, TL",132748-206860,2024-07-17,Large,"Scikit-learn, KDB+",ai_job_market
482,"Rose, Simon and Cruz",Education,"SQL, Hugging Face, Azure, C++, Keras, Flask",Senior,Contract,"Haasview, PY",127247-153167,2025-09-01,Mid,KDB+,ai_job_market
483,Russo Inc,Automotive,"Excel, Power BI, GCP, CUDA, PyTorch, Keras",Mid,Contract,"Munozside, MA",72261-141735,2025-08-21,Mid,Scikit-learn,ai_job_market
484,"Short, Hodge and Castillo",Tech,"Keras, C++, Scikit-learn, Flask, PyTorch, Pandas",Mid,Internship,"Lake Jasonville, LV",129504-207322,2024-02-01,Mid,"MLflow, PyTorch",ai_job_market
485,Bauer Group,E-commerce,"TensorFlow, Power BI, Reinforcement Learning, NumPy, CUDA, Excel",Mid,Remote,"South Jaredview, PW",116697-174967,2024-02-02,Startup,"LangChain, Scikit-learn, FastAPI",ai_job_market
486,Petty PLC,Retail,"Python, Azure, R, TensorFlow, GCP",Entry,Remote,"Castrobury, ES",46832-131794,2024-07-18,Startup,"MLflow, BigQuery, Scikit-learn",ai_job_market
487,Stuart and Sons,Healthcare,"Hugging Face, C++, PyTorch, Reinforcement Learning, TensorFlow",Mid,Internship,"Lake Randychester, TR",135983-151535,2025-03-04,Large,"PyTorch, BigQuery",ai_job_market
488,"Barker, Monroe and Ortega",Education,"Reinforcement Learning, GCP, NumPy",Senior,Full-time,"Robertsonfort, MU",86380-119826,2023-11-27,Startup,"Scikit-learn, TensorFlow, BigQuery",ai_job_market
489,Chambers-Santiago,Finance,"Reinforcement Learning, NumPy, Scikit-learn",Entry,Contract,"Halefurt, JO",97354-192951,2023-10-17,Startup,"LangChain, BigQuery",ai_job_market
490,Nolan-Brown,E-commerce,"PyTorch, Hugging Face, GCP, Flask",Mid,Full-time,"Karenville, GA",130041-148947,2024-06-16,Large,Scikit-learn,ai_job_market
491,"Cox, Fitzgerald and Wong",Finance,"R, FastAPI, AWS",Mid,Internship,"Davidtown, ID",98664-190980,2023-09-29,Large,"PyTorch, LangChain",ai_job_market
492,Zhang-Williams,Automotive,"MLflow, CUDA, C++",Entry,Contract,"East Henryfort, CA",112236-163663,2024-11-09,Large,"LangChain, TensorFlow",ai_job_market
493,Henry-Grimes,Education,"CUDA, AWS, NumPy, Azure, Power BI",Entry,Remote,"Port Biancachester, DE",89452-161968,2023-10-16,Large,"TensorFlow, Scikit-learn, FastAPI",ai_job_market
494,"Garcia, Lowery and Alexander",Finance,"Keras, NumPy, Python, AWS, Flask, Azure",Mid,Remote,"East Kennethfurt, MT",41836-115821,2024-01-04,Large,"Scikit-learn, LangChain",ai_job_market
495,Turner PLC,Healthcare,"Azure, Flask, MLflow, GCP",Senior,Full-time,"East Sandrabury, TL",80778-94197,2025-03-08,Large,"PyTorch, KDB+",ai_job_market
496,Davis LLC,Tech,"FastAPI, CUDA, R",Entry,Remote,"Sarahburgh, VA",68580-87181,2025-07-21,Mid,KDB+,ai_job_market
497,Foster-Stephens,Education,"AWS, CUDA, MLflow, Python",Senior,Internship,"Robinsonport, IQ",41323-86336,2025-08-10,Mid,"KDB+, PyTorch, FastAPI",ai_job_market
498,"Ho, Scott and Martinez",Education,"Flask, SQL, PyTorch, Azure, AWS",Senior,Full-time,"Lyonsland, MK",127995-170331,2025-04-24,Startup,LangChain,ai_job_market
499,Green PLC,Retail,"C++, SQL, Python, MLflow, Power BI, FastAPI",Mid,Remote,"Gutierrezport, NO",91343-143899,2025-03-27,Large,LangChain,ai_job_market
500,Hudson Group,E-commerce,"CUDA, SQL, Keras, C++",Mid,Remote,"New Shawnberg, SE",58872-121321,2024-05-16,Mid,"FastAPI, Scikit-learn, TensorFlow",ai_job_market
501,"Pham, Mathews and Gray",Automotive,"MLflow, TensorFlow, NumPy, Pandas",Mid,Remote,"South Crystalshire, FR",59652-117331,2023-10-30,Large,TensorFlow,ai_job_market
502,"Saunders, Howell and Martinez",Healthcare,"TensorFlow, NumPy, Pandas, PyTorch, Azure",Senior,Full-time,"West Wandaside, KE",64588-93067,2024-08-14,Mid,"KDB+, FastAPI, Scikit-learn",ai_job_market
503,King LLC,Automotive,"FastAPI, Keras, CUDA, PyTorch, LangChain",Senior,Internship,"Ruizton, CI",62963-73964,2024-11-28,Startup,"BigQuery, MLflow",ai_job_market
504,Anthony Group,Tech,"PyTorch, Azure, Reinforcement Learning, TensorFlow, Pandas, FastAPI",Mid,Contract,"Lisaborough, MG",147083-198629,2025-04-17,Large,PyTorch,ai_job_market
505,"Kim, Peterson and Schaefer",Automotive,"GCP, MLflow, PyTorch",Entry,Contract,"Ericksonport, NZ",124727-213590,2025-07-02,Large,"PyTorch, MLflow, LangChain",ai_job_market
506,Parrish-Small,Retail,"Python, Flask, LangChain, AWS, Keras",Senior,Contract,"Perryland, MA",103756-181213,2025-08-05,Startup,"FastAPI, Scikit-learn, PyTorch",ai_job_market
507,"Shaw, Myers and Smith",Finance,"Azure, TensorFlow, C++",Mid,Full-time,"Brookeport, TV",97542-184959,2024-05-21,Startup,TensorFlow,ai_job_market
508,Smith-Huynh,Automotive,"Scikit-learn, Hugging Face, TensorFlow",Entry,Contract,"South Dawnfort, AE",80381-97901,2024-09-21,Startup,"TensorFlow, BigQuery",ai_job_market
509,Cardenas-Williams,Education,"Python, Azure, Reinforcement Learning, LangChain, AWS, Hugging Face",Senior,Remote,"West Michael, PW",147604-186982,2024-12-20,Startup,"LangChain, TensorFlow, KDB+",ai_job_market
510,Davis Inc,Healthcare,"MLflow, Python, TensorFlow, LangChain",Entry,Full-time,"Taylorland, PL",56981-90644,2024-12-27,Mid,"TensorFlow, PyTorch, KDB+",ai_job_market
511,Davis-Hudson,Retail,"GCP, Scikit-learn, Flask, AWS, Excel, Power BI",Entry,Remote,"South Thomasview, BR",116148-184483,2025-08-13,Startup,PyTorch,ai_job_market
512,"Mcdonald, Carey and Cruz",Healthcare,"TensorFlow, R, FastAPI, Pandas, Power BI",Mid,Contract,"Kingburgh, ER",49163-80743,2023-09-23,Large,"MLflow, Scikit-learn",ai_job_market
513,Williams LLC,Healthcare,"Python, Hugging Face, Scikit-learn, GCP",Entry,Contract,"Jeremytown, GQ",51721-118914,2025-01-04,Large,"MLflow, KDB+",ai_job_market
514,Cooper PLC,Education,"Azure, Pandas, TensorFlow, AWS",Mid,Remote,"Michaelbury, FM",143486-177073,2024-06-27,Large,"BigQuery, Scikit-learn, PyTorch",ai_job_market
515,"Graham, Ramirez and Haas",Automotive,"R, Reinforcement Learning, Scikit-learn, PyTorch, GCP",Entry,Remote,"East Tammy, SY",141494-226122,2024-10-08,Mid,"BigQuery, TensorFlow, FastAPI",ai_job_market
516,"Lowe, Schmidt and Harris",Tech,"Excel, Hugging Face, AWS, TensorFlow, R, Power BI",Entry,Contract,"Dannyborough, MA",40667-138793,2025-07-22,Mid,TensorFlow,ai_job_market
517,"Kemp, Young and Stewart",E-commerce,"Python, Pandas, Excel, TensorFlow, Azure",Entry,Remote,"Tracyborough, CZ",45587-114965,2024-05-08,Startup,"TensorFlow, PyTorch",ai_job_market
518,"Hodges, Allen and Washington",Automotive,"PyTorch, Pandas, Reinforcement Learning",Mid,Contract,"Davidside, JO",50145-64920,2024-05-03,Mid,KDB+,ai_job_market
519,Blair PLC,E-commerce,"NumPy, Keras, PyTorch, TensorFlow, Flask, Excel",Senior,Contract,"Hernandezshire, LU",125963-141117,2024-11-06,Large,"FastAPI, PyTorch, BigQuery",ai_job_market
520,"Cruz, Patrick and King",E-commerce,"R, TensorFlow, AWS",Mid,Remote,"Walshstad, KG",117682-149820,2025-04-26,Startup,"PyTorch, KDB+",ai_job_market
521,"Rivers, Jones and Cameron",E-commerce,"SQL, NumPy, Scikit-learn",Entry,Full-time,"Nelsonchester, NE",108359-163658,2024-11-02,Large,"TensorFlow, LangChain",ai_job_market
522,Lindsey-Chan,Finance,"MLflow, Flask, Keras, Scikit-learn, LangChain",Entry,Contract,"Albertport, RW",46169-74675,2024-07-18,Mid,TensorFlow,ai_job_market
523,Hess Inc,Healthcare,"FastAPI, Excel, PyTorch, Flask, Reinforcement Learning",Mid,Remote,"East Kathrynchester, FJ",109531-131253,2024-08-26,Mid,"BigQuery, PyTorch, FastAPI",ai_job_market
524,Williams Ltd,Retail,"Hugging Face, GCP, Scikit-learn",Entry,Contract,"Lake Patrick, ST",146291-220807,2024-02-27,Mid,"Scikit-learn, PyTorch, LangChain",ai_job_market
525,"Moore, Fields and Valdez",Tech,"SQL, Python, Excel, Flask",Entry,Contract,"Marcusstad, GT",60309-116090,2025-08-31,Mid,"TensorFlow, KDB+, BigQuery",ai_job_market
526,Todd-Wright,Automotive,"SQL, Keras, Pandas, GCP",Senior,Contract,"Port Thomas, IQ",135243-196909,2024-03-12,Startup,"FastAPI, KDB+",ai_job_market
527,Morrison and Sons,E-commerce,"CUDA, Power BI, AWS, FastAPI, C++",Senior,Internship,"Richardfurt, JM",141909-166648,2024-11-04,Mid,TensorFlow,ai_job_market
528,"Barrett, Bennett and Stokes",Education,"C++, CUDA, Azure",Entry,Remote,"New John, JP",110795-199925,2025-03-22,Startup,"LangChain, MLflow",ai_job_market
529,"Jefferson, Orr and Gonzalez",Retail,"LangChain, GCP, Reinforcement Learning, Excel, FastAPI, Power BI",Mid,Remote,"Lake Matthewhaven, RO",97755-118149,2024-01-24,Large,"KDB+, PyTorch",ai_job_market
530,"Davis, Chambers and Lee",Healthcare,"Excel, Power BI, PyTorch, Hugging Face, R",Senior,Remote,"Davidton, VN",141037-189383,2024-02-02,Mid,"Scikit-learn, BigQuery, MLflow",ai_job_market
531,Guerra-Hall,Healthcare,"GCP, Reinforcement Learning, Keras, Pandas",Mid,Remote,"New Ronald, PA",128537-188005,2024-09-24,Mid,FastAPI,ai_job_market
532,Brooks Ltd,Healthcare,"Keras, FastAPI, C++, Hugging Face",Senior,Full-time,"West Elizabeth, DE",56606-106301,2025-02-05,Mid,"Scikit-learn, PyTorch",ai_job_market
533,"Nolan, Jones and Nelson",Tech,"Python, PyTorch, SQL, FastAPI",Mid,Contract,"Hillfurt, BO",54795-115927,2023-12-05,Startup,"MLflow, FastAPI, Scikit-learn",ai_job_market
534,"Davidson, Walsh and Meyers",Finance,"Keras, Python, Hugging Face, Flask",Senior,Internship,"Susanfort, IQ",68706-105919,2024-06-06,Mid,"TensorFlow, FastAPI",ai_job_market
535,Burgess-Barrera,Finance,"Hugging Face, Azure, PyTorch, GCP",Senior,Contract,"Leebury, SC",107190-142210,2025-09-13,Large,FastAPI,ai_job_market
536,Anderson LLC,Healthcare,"TensorFlow, LangChain, Keras, Scikit-learn, Excel, C++",Entry,Contract,"South Briannafort, MZ",65172-119584,2024-01-22,Mid,MLflow,ai_job_market
537,"Cameron, Carter and Smith",Healthcare,"Scikit-learn, Azure, GCP",Mid,Full-time,"Blakebury, CL",58475-150927,2025-06-18,Large,"PyTorch, MLflow",ai_job_market
538,Christensen LLC,Finance,"FastAPI, TensorFlow, Keras",Entry,Contract,"New Codystad, HU",89065-169950,2024-08-02,Large,MLflow,ai_job_market
539,Clark-Dennis,Finance,"R, NumPy, Scikit-learn",Mid,Remote,"North Brianhaven, IT",140046-166454,2024-08-08,Mid,"BigQuery, PyTorch",ai_job_market
540,Obrien and Sons,Automotive,"Python, MLflow, SQL",Mid,Internship,"North Joannaberg, VC",50054-60639,2024-06-30,Large,"Scikit-learn, MLflow, FastAPI",ai_job_market
541,Gomez PLC,E-commerce,"R, Scikit-learn, Power BI",Senior,Internship,"Stevenshire, BE",84367-161104,2025-04-05,Startup,MLflow,ai_job_market
542,Rogers-Shaw,E-commerce,"Pandas, LangChain, Python, Keras",Senior,Internship,"Ginafurt, PW",106747-192008,2025-01-13,Startup,"KDB+, Scikit-learn, TensorFlow",ai_job_market
543,Gardner-Murphy,Education,"Hugging Face, R, Azure, Power BI, Excel",Senior,Full-time,"Phillipsmouth, BE",134658-192987,2024-01-16,Mid,"LangChain, FastAPI",ai_job_market
544,"Brooks, Morales and Parker",Automotive,"Pandas, FastAPI, Hugging Face, PyTorch, Power BI",Senior,Full-time,"South Chelseamouth, MR",67982-80867,2024-08-25,Startup,LangChain,ai_job_market
545,"Harrison, Nelson and Butler",Tech,"GCP, Pandas, FastAPI, C++, Excel",Mid,Internship,"North Darren, PG",66502-125569,2025-06-25,Mid,"FastAPI, MLflow",ai_job_market
546,"Boyd, Manning and Smith",E-commerce,"Excel, Pandas, CUDA",Mid,Full-time,"Walshmouth, EG",129492-154474,2024-10-28,Startup,PyTorch,ai_job_market
547,Morgan Group,E-commerce,"Reinforcement Learning, Hugging Face, Pandas, Excel",Mid,Contract,"East Robertbury, PS",46778-126259,2025-05-02,Startup,"FastAPI, PyTorch",ai_job_market
548,"Sutton, Rivera and Mcintyre",Education,"Reinforcement Learning, LangChain, C++",Entry,Internship,"Port Briannaview, MM",139140-205348,2025-09-07,Startup,"LangChain, FastAPI",ai_job_market
549,Lee Inc,Education,"FastAPI, Excel, AWS, LangChain, Python",Entry,Contract,"Bradshawport, TW",81090-99269,2024-10-25,Startup,"KDB+, MLflow",ai_job_market
550,Clark-Stevens,Tech,"Power BI, C++, R",Senior,Contract,"Port Isabellaport, BB",134343-205844,2024-01-17,Startup,BigQuery,ai_job_market
551,Young LLC,Education,"C++, Hugging Face, Flask, Python, NumPy, Scikit-learn",Senior,Full-time,"South Evan, ZM",72912-155169,2024-02-12,Large,"Scikit-learn, FastAPI, LangChain",ai_job_market
552,Shaffer Inc,Education,"FastAPI, Azure, TensorFlow",Mid,Internship,"West Adammouth, MZ",123639-216071,2024-06-08,Mid,TensorFlow,ai_job_market
553,"Powers, Lee and Graves",Healthcare,"MLflow, Reinforcement Learning, Python",Mid,Internship,"North Cindy, CZ",71107-88278,2025-08-18,Mid,"PyTorch, TensorFlow",ai_job_market
554,Williams-White,Tech,"CUDA, R, Reinforcement Learning",Entry,Full-time,"Amyside, CH",139426-167189,2025-02-09,Startup,"MLflow, PyTorch, KDB+",ai_job_market
555,Smith-Green,Finance,"Python, AWS, FastAPI",Entry,Full-time,"East Mariahberg, NL",41327-101270,2024-08-18,Mid,FastAPI,ai_job_market
556,Miller and Sons,Tech,"MLflow, AWS, SQL, Python",Mid,Full-time,"North Michele, BZ",132842-146986,2024-01-03,Mid,"TensorFlow, FastAPI",ai_job_market
557,Thomas-Howell,Education,"MLflow, Azure, Python",Senior,Internship,"Matthewshire, HN",61018-136143,2023-12-19,Mid,"TensorFlow, KDB+",ai_job_market
558,"Velez, Foley and Walker",E-commerce,"Excel, Flask, Power BI, PyTorch, SQL, CUDA",Senior,Internship,"Lake Joseph, SN",129013-194851,2024-08-21,Mid,"LangChain, BigQuery, FastAPI",ai_job_market
559,Mccoy Group,Tech,"Scikit-learn, AWS, CUDA, Azure, Hugging Face",Senior,Full-time,"North Tamara, SM",53336-98757,2024-10-16,Startup,"FastAPI, TensorFlow, LangChain",ai_job_market
560,Hall Ltd,E-commerce,"LangChain, Python, AWS, R, Keras",Entry,Remote,"Jamesview, HT",60072-132524,2025-05-31,Startup,"LangChain, BigQuery",ai_job_market
561,Dixon-Sanchez,Tech,"Excel, Azure, Pandas, PyTorch, SQL",Mid,Remote,"Adamsshire, AZ",95822-165764,2025-05-21,Startup,"PyTorch, TensorFlow, KDB+",ai_job_market
562,Goodman and Sons,Automotive,"NumPy, Excel, LangChain",Entry,Contract,"Zacharyfurt, ST",123940-205534,2024-10-21,Mid,"MLflow, Scikit-learn, FastAPI",ai_job_market
563,"Garcia, Moss and Mccormick",Tech,"TensorFlow, Flask, NumPy, GCP",Mid,Internship,"New Bettyborough, GR",93765-164272,2024-02-16,Mid,TensorFlow,ai_job_market
564,Mccullough-Fields,Healthcare,"Hugging Face, Flask, Pandas, Scikit-learn",Senior,Remote,"Georgeview, LB",107143-125166,2024-07-31,Mid,"BigQuery, MLflow",ai_job_market
565,"Green, Stewart and Nelson",Healthcare,"Python, Pandas, R, Scikit-learn",Entry,Internship,"Carmenbury, TV",78028-167608,2025-09-02,Large,"LangChain, TensorFlow, BigQuery",ai_job_market
566,Montgomery and Sons,Tech,"Excel, TensorFlow, Azure, Reinforcement Learning",Entry,Contract,"New Josemouth, KE",65169-83971,2024-04-11,Large,"BigQuery, FastAPI",ai_job_market
567,Fuentes LLC,E-commerce,"Hugging Face, Keras, FastAPI, Power BI",Senior,Contract,"Lake Christophershire, UZ",70715-133242,2025-01-29,Startup,"LangChain, PyTorch, MLflow",ai_job_market
568,Farmer-Higgins,Education,"Reinforcement Learning, Pandas, AWS",Senior,Remote,"East Cindy, IL",119460-194399,2024-04-17,Mid,"FastAPI, KDB+, BigQuery",ai_job_market
569,Lyons-Dunlap,Education,"Keras, Python, PyTorch, GCP, C++",Mid,Contract,"Jamesshire, BN",91699-163503,2024-08-03,Large,"Scikit-learn, TensorFlow, PyTorch",ai_job_market
570,"Moore, Whitney and Davis",Tech,"PyTorch, Flask, CUDA, NumPy, AWS, SQL",Senior,Full-time,"East Jamie, BO",67161-112365,2025-06-01,Startup,"Scikit-learn, PyTorch, FastAPI",ai_job_market
571,Glass and Sons,Healthcare,"LangChain, TensorFlow, Azure",Mid,Internship,"Jenniferfurt, RO",106546-185690,2023-10-12,Large,"MLflow, BigQuery",ai_job_market
572,Gaines Ltd,Tech,"TensorFlow, FastAPI, PyTorch, Hugging Face, Pandas",Mid,Full-time,"Jacquelineville, GE",137451-171220,2024-11-29,Mid,"TensorFlow, LangChain, Scikit-learn",ai_job_market
573,Garcia-Cannon,Education,"Keras, NumPy, R, LangChain, Reinforcement Learning",Senior,Contract,"Port Shannon, TV",109614-173616,2025-03-09,Startup,"KDB+, BigQuery",ai_job_market
574,"Robbins, Luna and Wiggins",Education,"SQL, LangChain, MLflow, AWS, Reinforcement Learning",Mid,Contract,"Tonyburgh, BO",123263-202960,2023-12-12,Startup,MLflow,ai_job_market
575,Green-Poole,Retail,"Flask, LangChain, FastAPI",Senior,Full-time,"Lake Timothyville, LB",40293-110748,2025-02-24,Startup,"FastAPI, BigQuery, MLflow",ai_job_market
576,Shaw-Bell,Education,"LangChain, SQL, Reinforcement Learning",Senior,Internship,"Rodriguezfort, NZ",127698-166887,2024-10-16,Startup,"PyTorch, LangChain, KDB+",ai_job_market
577,"Mason, Gonzalez and Miller",E-commerce,"Power BI, AWS, TensorFlow, Keras, CUDA, Pandas",Mid,Internship,"Garciamouth, DE",136999-162930,2025-05-23,Mid,"KDB+, Scikit-learn",ai_job_market
